what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1324341140169
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324341151817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324341166318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324341490180
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1324341494834
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324341692185
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324341844640
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324341847546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324341856872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324341858685
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1324341859575
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324341960794
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324341982103
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324341982900
started,bundle,com.instantiations.designer.xwt,7.6.0.r36x201006240350,"com.instantiations.designer.xwt",1324341983087
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1324341983431
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1324341983837
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324341983947
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1324341988430
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324342083251
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324342083454
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324342083548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342145670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342151857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342181949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342587701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342589310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342590060
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324342590091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342591044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342659349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342675437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342676655
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1324342676671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342683919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342685715
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324342685731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1324342700975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1324342701257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324342760851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324343199489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324343277578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324343278859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324343279328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324343280593
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1324343286749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324343299154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324343423352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324343423602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324344278478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324344281619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324344282072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324344373461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324344389914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324344390711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324344390711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324344390789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347720819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347722476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347723507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347723991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347728569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347728803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347728803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347729116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347729803
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324347730490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347807608
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347807608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347808327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347808717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347812904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347815935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347817779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347823966
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1324347823981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347827231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347860947
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324347860963
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1324347874181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347876916
executed,command,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.as.editor.quick.outline",1324347876947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347885072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347887931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347897884
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1324347905728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324347909743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324348980175
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324348980191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324348981425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324348981425
